Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Nick Abruzzese,20212022,TOR,L,C,9,1,0,1,-1,2,0.11,1,1,0,0,0,0,0,1,8,12.5,10:13,28.6,1999-06-04,Slate Hill,NY,USA,USA,71,183,2019,4,124,20212022,N,Regular Season
Noel Acciari,20212022,FLA,R,C,20,3,5,8,2,11,0.4,3,8,0,0,0,0,0,1,32,9.4,11:59,50.6,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20152016,N,Regular Season
Calen Addison,20212022,MIN,R,D,15,2,2,4,-4,2,0.27,2,4,0,0,0,0,0,0,17,11.8,13:47,--,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,Regular Season
Andrew Agozzino,20212022,OTT,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6:52,33.3,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,Regular Season
Jack Ahcan,20212022,BOS,L,D,6,1,0,1,-3,0,0.17,0,0,1,1,0,0,0,0,5,20,16:02,--,1997-05-18,Savage,MN,USA,USA,68,180,--,--,--,20202021,N,Regular Season
Sebastian Aho,20212022,CAR,L,C,79,37,44,81,18,38,1.03,23,50,13,28,1,3,2,9,221,16.7,18:57,52.4,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20162017,N,Regular Season
Sebastian Aho,20212022,NYI,L,D,36,2,10,12,-6,10,0.33,2,10,0,2,0,0,0,0,34,5.9,16:27,--,1996-02-17,Umea,--,SWE,SWE,70,176,2017,5,139,20172018,N,Regular Season
Alexander Alexeyev,20212022,WSH,L,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,10:35,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,Regular Season
Wade Allison,20212022,PHI,R,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,8:16,--,1997-10-14,Carman,MB,CAN,CAN,74,205,2016,2,52,20202021,N,Regular Season
Michael Amadio,20212022,"TOR,VGK",R,R,56,11,7,18,1,15,0.32,11,18,0,0,0,0,0,2,64,17.2,12:10,41.7,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,Regular Season
Joey Anderson,20212022,TOR,R,R,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8:46,--,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,Regular Season
Josh Anderson,20212022,MTL,R,R,69,19,13,32,-25,65,0.46,17,29,2,3,0,0,0,1,151,12.6,17:14,47.6,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,Regular Season
Mikey Anderson,20212022,LAK,L,D,57,2,6,8,6,8,0.14,2,8,0,0,0,0,0,1,58,3.5,20:07,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,Regular Season
Jaret Anderson-Dolan,20212022,LAK,L,C,7,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,5,0,13:47,56.3,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,Regular Season
Lias Andersson,20212022,LAK,L,C,20,1,1,2,-7,12,0.1,1,1,0,1,0,0,0,1,29,3.5,10:37,44.7,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,Regular Season
Rasmus Andersson,20212022,CGY,R,D,82,4,46,50,30,28,0.61,2,30,2,19,0,1,0,1,152,2.6,22:40,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,Regular Season
Andy Andreoff,20212022,NYI,L,C,6,1,0,1,-1,0,0.17,1,1,0,0,0,0,0,0,6,16.7,9:59,52.9,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,Regular Season
Anthony Angello,20212022,PIT,R,C,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6:38,0,1996-03-06,Albany,NY,USA,USA,77,210,2014,5,145,20192020,N,Regular Season
Mason Appleton,20212022,"SEA,WPG",R,C,68,8,13,21,-1,30,0.31,8,21,0,0,0,0,0,3,98,8.2,14:53,31.8,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,Regular Season
Josh Archibald,20212022,EDM,R,R,8,0,1,1,-2,7,0.13,0,1,0,0,0,0,0,0,4,0,9:03,50,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,Regular Season
Joel Armia,20212022,MTL,R,R,60,6,8,14,-15,14,0.23,4,10,1,3,1,1,0,0,103,5.8,13:43,17.7,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,Regular Season
Viktor Arvidsson,20212022,LAK,R,L,66,20,29,49,1,22,0.74,16,41,4,8,0,0,1,3,227,8.8,16:59,36.4,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,Regular Season
Rasmus Asplund,20212022,BUF,L,C,80,8,19,27,-5,10,0.34,5,22,2,4,1,1,1,1,130,6.2,14:17,42.6,1997-12-03,Filipstad,--,SWE,SWE,71,190,2016,2,33,20192020,N,Regular Season
Zach Aston-Reese,20212022,"PIT,ANA",L,C,69,5,10,15,9,28,0.22,5,15,0,0,0,0,0,0,78,6.4,13:02,50,1994-08-10,Staten Island,NY,USA,USA,73,200,--,--,--,20172018,N,Regular Season
Andreas Athanasiou,20212022,LAK,L,C,28,11,6,17,7,4,0.61,11,16,0,1,0,0,1,3,71,15.5,15:14,65,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,Regular Season
Cam Atkinson,20212022,PHI,R,R,73,23,27,50,-2,10,0.68,18,42,2,5,3,3,1,6,215,10.7,18:15,29.4,1989-06-05,Riverside,CT,USA,USA,68,178,2008,6,157,20112012,N,Regular Season
Ronnie Attard,20212022,PHI,R,D,15,2,2,4,-2,8,0.27,2,4,0,0,0,0,0,0,16,12.5,16:36,--,1999-03-20,White Lake,MI,USA,USA,75,208,2019,3,72,20212022,N,Regular Season
Nicolas Aube-Kubel,20212022,"PHI,COL",R,R,74,11,12,23,11,47,0.31,11,23,0,0,0,0,0,2,87,12.6,9:49,25,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20182019,N,Regular Season
Mikael Backlund,20212022,CGY,L,C,82,12,27,39,16,30,0.48,12,32,0,7,0,0,0,1,214,5.6,17:07,50.5,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,Regular Season
