Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Nicklas Backstrom,20212022,WSH,L,C,47,6,25,31,-8,12,0.66,5,17,1,14,0,0,1,1,68,8.8,17:29,46.4,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,Regular Season
Brandon Baddock,20212022,MTL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:24,--,1995-03-29,Vermilion,AB,CAN,CAN,75,218,2014,6,161,20212022,N,Regular Season
Sven Baertschi,20212022,VGK,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:54,--,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,Regular Season
Kevin Bahl,20212022,NJD,L,D,17,1,3,4,-6,10,0.24,1,4,0,0,0,0,0,0,16,6.3,15:45,--,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,Regular Season
Josh Bailey,20212022,NYI,L,R,74,14,30,44,-7,6,0.59,12,33,2,11,0,0,0,1,87,16.1,16:53,39.1,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,Regular Season
Justin Bailey,20212022,VAN,R,R,14,0,0,0,-5,6,0,0,0,0,0,0,0,0,0,16,0,9:05,0,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,2,52,20152016,N,Regular Season
Rudolfs Balcers,20212022,SJS,L,L,61,11,12,23,-3,20,0.38,11,22,0,0,0,1,0,1,98,11.2,15:02,40,1997-04-08,Liepaja,--,LVA,LVA,71,182,2015,5,142,20182019,N,Regular Season
Alexander Barabanov,20212022,SJS,L,L,70,10,29,39,-5,14,0.56,8,31,2,8,0,0,1,1,103,9.7,17:11,0,1994-06-17,St. Petersburg,--,RUS,RUS,70,195,--,--,--,20202021,N,Regular Season
Ivan Barbashev,20212022,STL,L,C,81,26,34,60,4,40,0.74,21,49,4,9,1,2,0,2,111,23.4,16:26,39.9,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Regular Season
Riley Barber,20212022,DET,R,R,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,4,0,8:27,--,1994-02-07,Pittsburgh,PA,USA,USA,72,205,2012,6,167,20162017,N,Regular Season
Aleksander Barkov,20212022,FLA,L,C,67,39,49,88,36,18,1.31,23,57,12,26,4,5,2,5,214,18.2,20:18,57,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20132014,N,Regular Season
Tyson Barrie,20212022,EDM,R,D,73,7,34,41,3,18,0.56,4,19,3,21,0,1,0,0,149,4.7,18:58,--,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,Regular Season
Justin Barron,20212022,"COL,MTL",R,D,7,1,1,2,-3,0,0.29,1,2,0,0,0,0,0,0,13,7.7,17:11,--,2001-11-15,Halifax,NS,CAN,CAN,74,198,2020,1,25,20212022,N,Regular Season
Morgan Barron,20212022,"NYR,WPG",L,C,27,2,3,5,-4,8,0.19,2,5,0,0,0,0,0,0,33,6.1,9:48,55.6,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,Regular Season
Alex Barré-Boulet,20212022,"SEA,TBL",L,C,16,3,3,6,0,4,0.38,3,5,0,1,0,0,0,0,16,18.8,11:00,40,1997-05-21,Montmagny,QC,CAN,CAN,70,178,--,--,--,20202021,N,Regular Season
Mathew Barzal,20212022,NYI,R,C,73,15,44,59,-15,18,0.81,14,39,1,20,0,0,0,1,161,9.3,18:01,46.3,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,Regular Season
Nathan Bastian,20212022,"SEA,NJD",R,R,72,12,6,18,-12,65,0.25,9,14,3,4,0,0,0,1,97,12.4,11:54,47.9,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,Regular Season
Drake Batherson,20212022,OTT,R,R,46,17,27,44,4,32,0.96,14,30,3,14,0,0,1,3,110,15.5,18:56,41.9,1998-04-27,Fort Wayne,IN,USA,CAN,75,200,2017,4,121,20182019,N,Regular Season
Gavin Bayreuther,20212022,CBJ,L,D,43,0,8,8,0,22,0.19,0,8,0,0,0,0,0,0,44,0,13:03,--,1994-05-12,Canaan,NH,USA,USA,74,210,--,--,--,20182019,N,Regular Season
Jay Beagle,20212022,ARI,R,C,33,1,1,2,-20,27,0.06,1,2,0,0,0,0,0,0,24,4.2,13:47,57.1,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,Regular Season
Jake Bean,20212022,CBJ,L,D,67,7,18,25,-5,26,0.37,7,20,0,4,0,1,2,2,90,7.8,20:34,--,1998-06-09,Calgary,AB,CAN,CAN,73,191,2016,1,13,20182019,N,Regular Season
Ethan Bear,20212022,CAR,R,D,58,5,9,14,1,20,0.24,5,13,0,1,0,0,0,2,97,5.2,16:05,--,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,Regular Season
Nicolas Beaudin,20212022,CHI,L,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,6:10,--,1999-10-07,Chateauguay,QC,CAN,CAN,71,185,2018,1,27,20192020,N,Regular Season
Nathan Beaulieu,20212022,WPG,L,D,24,0,4,4,-7,25,0.17,0,3,0,0,0,1,0,0,24,0,10:46,--,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,Regular Season
Anthony Beauvillier,20212022,NYI,L,L,75,12,22,34,-10,12,0.45,7,23,5,11,0,0,0,1,154,7.8,16:50,40,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,Regular Season
Adam Beckman,20212022,MIN,L,L,3,0,1,1,-1,2,0.33,0,1,0,0,0,0,0,0,4,0,10:25,--,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,3,75,20212022,N,Regular Season
Pierre-Edouard Bellemare,20212022,TBL,L,L,80,9,11,20,24,19,0.25,8,19,0,0,1,1,0,1,72,12.5,13:45,51.7,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,Regular Season
Kieffer Bellows,20212022,NYI,L,L,45,6,13,19,-1,19,0.42,6,15,0,4,0,0,0,2,79,7.6,11:52,0,1998-06-10,Edina,MN,USA,USA,73,195,2016,1,19,20192020,N,Regular Season
Alex Belzile,20212022,MTL,R,R,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,10:24,36.8,1991-08-31,St-Eloi,QC,CAN,CAN,72,198,--,--,--,20202021,N,Regular Season
Emil Bemstrom,20212022,CBJ,R,C,41,6,5,11,-1,4,0.27,6,11,0,0,0,0,0,1,62,9.7,10:31,50,1999-06-01,Nykoping,--,SWE,SWE,72,190,2017,4,117,20192020,N,Regular Season
Matty Beniers,20212022,SEA,L,C,10,3,6,9,-1,0,0.9,1,5,2,4,0,0,0,0,18,16.7,16:56,42.4,2002-11-05,Hingham,MA,USA,USA,74,181,2021,1,2,20212022,N,Regular Season
Jamie Benn,20212022,DAL,L,L,82,18,28,46,-13,88,0.56,14,34,3,11,1,1,2,2,182,9.9,16:45,55.2,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20092010,N,Regular Season
Jordie Benn,20212022,MIN,L,D,39,1,7,8,1,10,0.21,1,8,0,0,0,0,0,0,37,2.7,14:59,--,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,Regular Season
Sam Bennett,20212022,FLA,L,C,71,28,21,49,27,74,0.69,23,39,5,9,0,1,1,7,241,11.6,16:57,46.9,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Regular Season
Matthew Benning,20212022,NSH,R,D,65,0,11,11,-24,39,0.17,0,11,0,0,0,0,0,0,61,0,16:20,--,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,Regular Season
Simon Benoit,20212022,ANA,L,D,53,1,4,5,-5,22,0.09,1,5,0,0,0,0,0,0,45,2.2,14:06,--,1998-09-19,Laval,QC,CAN,CAN,76,211,--,--,--,20202021,N,Regular Season
Tyler Benson,20212022,EDM,L,L,29,1,1,2,-5,18,0.07,1,2,0,0,0,0,0,0,18,5.6,8:33,0,1998-03-15,Edmonton,AB,CAN,CAN,72,190,2016,2,32,20192020,N,Regular Season
Patrice Bergeron,20212022,BOS,R,C,73,25,40,65,26,32,0.89,17,39,8,23,0,3,0,4,293,8.5,18:10,61.9,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,Regular Season
Jacob Bernard-Docker,20212022,OTT,R,D,8,0,1,1,1,4,0.13,0,1,0,0,0,0,0,0,6,0,14:46,--,2000-06-30,Canmore,AB,CAN,CAN,73,198,2018,1,26,20202021,N,Regular Season
Tyler Bertuzzi,20212022,DET,L,L,68,30,32,62,-11,47,0.91,23,46,6,14,1,2,0,5,180,16.7,19:52,26.1,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,Regular Season
Alex Biega,20212022,TOR,R,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,13:07,--,1988-04-04,Montréal,QC,CAN,CAN,70,195,2006,5,147,20142015,N,Regular Season
Brandon Biro,20212022,BUF,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,13:30,--,1998-03-11,Sherwood Park,AB,CAN,CAN,71,170,--,--,--,20212022,N,Regular Season
Clark Bishop,20212022,OTT,L,C,9,0,1,1,-3,6,0.11,0,1,0,0,0,0,0,0,8,0,8:21,50,1996-03-29,St. John's,NL,CAN,CAN,73,197,2014,5,127,20182019,N,Regular Season
Anders Bjork,20212022,BUF,L,L,58,5,3,8,-14,10,0.14,5,8,0,0,0,0,0,0,51,9.8,12:02,20,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,Regular Season
Kasper Bjorkqvist,20212022,PIT,L,R,6,1,0,1,-1,2,0.17,1,1,0,0,0,0,0,0,8,12.5,8:22,--,1997-07-10,Espoo,--,FIN,FIN,73,198,2016,2,61,20212022,N,Regular Season
Oliver Bjorkstrand,20212022,CBJ,R,R,80,28,29,57,-35,16,0.71,19,38,9,19,0,0,0,1,215,13,17:57,43.5,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,Regular Season
Tobias Bjornfot,20212022,LAK,L,D,70,0,8,8,-12,6,0.11,0,8,0,0,0,0,0,0,53,0,16:46,--,2001-04-06,Upplands Vasby,--,SWE,SWE,72,200,2019,1,22,20192020,N,Regular Season
Nick Bjugstad,20212022,MIN,R,C,57,7,6,13,-2,20,0.23,6,12,1,1,0,0,0,0,81,8.6,10:16,55.3,1992-07-17,Minneapolis,MN,USA,USA,77,205,2010,1,19,20122013,N,Regular Season
Colin Blackwell,20212022,"SEA,TOR",R,C,58,10,10,20,0,14,0.34,8,18,0,0,2,2,0,1,77,13,11:56,49.1,1993-03-28,North Andover,MA,USA,USA,68,190,2011,7,194,20182019,N,Regular Season
Sammy Blais,20212022,NYR,L,L,14,0,4,4,3,17,0.29,0,4,0,0,0,0,0,0,17,0,13:28,20,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,Regular Season
Nick Blankenburg,20212022,CBJ,R,D,7,1,2,3,-3,4,0.43,0,2,1,1,0,0,0,1,13,7.7,17:34,--,1998-05-12,Washington,MI,USA,USA,69,177,--,--,--,20212022,N,Regular Season
Anton Blidh,20212022,BOS,L,L,32,2,7,9,-3,24,0.28,2,9,0,0,0,0,0,0,28,7.1,10:44,0,1995-03-14,Molnlycke,--,SWE,SWE,73,196,2013,6,180,20162017,N,Regular Season
Teddy Blueger,20212022,PIT,L,C,65,9,19,28,12,10,0.43,8,26,0,0,1,2,0,0,93,9.7,15:01,53.1,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,Regular Season
Brock Boeser,20212022,VAN,R,R,71,23,23,46,-5,20,0.65,12,28,11,17,0,1,1,6,195,11.8,18:36,50.9,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,Regular Season
Zach Bogosian,20212022,TBL,R,D,48,3,5,8,2,53,0.17,3,8,0,0,0,0,0,1,60,5,15:22,--,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,Regular Season
Matt Boldy,20212022,MIN,L,L,47,15,24,39,17,10,0.83,12,29,3,10,0,0,0,2,113,13.3,15:23,37.5,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,Regular Season
Nick Bonino,20212022,SJS,L,C,80,16,10,26,-25,18,0.33,12,18,3,7,1,1,0,0,137,11.7,16:42,51.4,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,Regular Season
Adam Boqvist,20212022,CBJ,R,D,52,11,11,22,-11,12,0.42,8,16,3,6,0,0,0,1,64,17.2,17:03,--,2000-08-15,Falun,--,SWE,SWE,72,191,2018,1,8,20192020,N,Regular Season
Jesper Boqvist,20212022,NJD,L,C,56,10,13,23,-9,10,0.41,10,22,0,1,0,0,0,1,74,13.5,13:08,37.3,1998-10-30,Falun,--,SWE,SWE,73,190,2017,2,36,20192020,N,Regular Season
Thomas Bordeleau,20212022,SJS,L,C,8,0,5,5,-1,0,0.63,0,4,0,1,0,0,0,0,13,0,15:35,44.9,2002-01-03,Houston,TX,USA,USA,70,175,2020,2,38,20212022,N,Regular Season
Will Borgen,20212022,SEA,R,D,36,2,6,8,1,28,0.22,2,8,0,0,0,0,0,0,49,4.1,15:17,--,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,Regular Season
Henrik Borgstrom,20212022,CHI,L,C,52,4,3,7,-14,22,0.13,4,6,0,1,0,0,0,0,41,9.8,10:31,40.2,1997-08-06,Helsinki,--,FIN,FIN,75,199,2016,1,23,20172018,N,Regular Season
Mark Borowiecki,20212022,NSH,L,D,57,0,4,4,-9,151,0.07,0,4,0,0,0,0,0,0,45,0,13:07,--,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,Regular Season
Robert Bortuzzo,20212022,STL,R,D,73,1,5,6,-4,36,0.08,1,6,0,0,0,0,0,0,47,2.1,13:44,--,1989-03-18,Thunder Bay,ON,CAN,CAN,76,206,2007,3,78,20112012,N,Regular Season
Evan Bouchard,20212022,EDM,R,D,81,12,31,43,10,28,0.53,10,35,2,7,0,1,0,1,205,5.9,19:48,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,Regular Season
Madison Bowey,20212022,VAN,R,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,--,15:44,--,1995-04-22,Winnipeg,MB,CAN,CAN,73,207,2013,2,53,20172018,N,Regular Season
Travis Boyd,20212022,ARI,R,C,74,17,18,35,-10,34,0.47,15,31,2,4,0,0,1,2,88,19.3,16:31,45.3,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,Regular Season
Brian Boyle,20212022,PIT,L,C,66,11,10,21,6,27,0.32,10,20,0,0,1,1,0,1,87,12.6,10:47,45.2,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,Regular Season
Tyler Bozak,20212022,STL,R,C,50,3,9,12,-11,14,0.24,2,9,0,1,1,2,0,1,46,6.5,12:10,45.2,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,Regular Season
Erik Brannstrom,20212022,OTT,L,D,53,0,14,14,-17,30,0.26,0,8,0,6,0,0,0,0,86,0,19:46,--,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,Regular Season
Derick Brassard,20212022,"PHI,EDM",L,C,46,8,11,19,4,16,0.41,7,17,1,2,0,0,0,1,62,12.9,12:55,51.2,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,Regular Season
Jesper Bratt,20212022,NJD,L,L,76,26,47,73,0,16,0.96,23,55,3,18,0,0,0,6,197,13.2,17:26,0,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,Regular Season
Justin Braun,20212022,"PHI,NYR",R,D,69,6,12,18,2,36,0.26,6,18,0,0,0,0,0,0,73,8.2,19:33,--,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,Regular Season
Bobby Brink,20212022,PHI,R,R,10,0,4,4,-5,0,0.4,0,3,0,1,0,0,0,0,18,0,15:27,75,2001-07-08,Minnetonka,MN,USA,USA,68,169,2019,2,34,20212022,N,Regular Season
Guillaume Brisebois,20212022,VAN,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,4:13,--,1997-07-21,Longueuil,QC,CAN,CAN,74,175,2015,3,66,20182019,N,Regular Season
Philip Broberg,20212022,EDM,L,D,23,1,2,3,-8,8,0.13,1,3,0,0,0,0,0,0,29,3.5,13:28,--,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,Regular Season
TJ Brodie,20212022,TOR,L,D,82,4,24,28,20,34,0.34,4,25,0,1,0,2,0,0,68,5.9,21:19,--,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,Regular Season
Jonas Brodin,20212022,MIN,L,D,73,5,25,30,9,18,0.41,4,22,1,7,0,1,0,1,126,4,23:26,--,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,Regular Season
Jonny Brodzinski,20212022,NYR,R,C,22,1,1,2,1,10,0.09,1,2,0,0,0,0,0,0,34,2.9,10:51,50.5,1993-06-19,Ham Lake,MN,USA,USA,72,211,2013,5,148,20162017,N,Regular Season
Adam Brooks,20212022,"MTL,VGK,WPG",L,C,25,2,1,3,2,2,0.12,2,3,0,0,0,0,0,2,14,14.3,8:57,40.4,1996-05-06,Winnipeg,MB,CAN,CAN,72,179,2016,4,92,20192020,N,Regular Season
Connor Brown,20212022,OTT,R,R,64,10,29,39,-15,10,0.61,9,26,0,9,1,4,0,0,121,8.3,20:03,36.1,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,Regular Season
Dustin Brown,20212022,LAK,R,R,64,9,19,28,-3,20,0.44,8,25,1,3,0,0,0,0,146,6.2,14:44,20,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,Regular Season
Joshua Brown,20212022,"OTT,BOS",R,D,52,0,6,6,-7,37,0.12,0,6,0,0,0,0,0,0,45,0,14:13,--,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,Regular Season
Logan Brown,20212022,STL,L,C,39,4,7,11,-3,8,0.28,4,10,0,1,0,0,0,0,34,11.8,10:11,39.3,1998-03-05,Raleigh,NC,USA,USA,79,229,2016,1,11,20172018,N,Regular Season
Patrick Brown,20212022,PHI,R,C,44,4,5,9,-16,11,0.2,4,9,0,0,0,0,0,0,51,7.8,12:26,58.5,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,Regular Season
Jacob Bryson,20212022,BUF,L,D,73,1,9,10,-9,12,0.14,0,3,1,7,0,0,0,0,43,2.3,18:20,--,1997-11-18,London,ON,CAN,CAN,69,177,2017,4,99,20202021,N,Regular Season
Pavel Buchnevich,20212022,STL,L,L,73,30,46,76,29,34,1.04,20,53,8,19,2,4,1,3,199,15.1,18:18,33.3,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,Regular Season
Connor Bunnaman,20212022,PHI,L,C,15,0,0,0,-7,4,0,0,0,0,0,0,0,0,0,10,0,10:01,53.3,1998-04-16,Guelph,ON,CAN,CAN,73,207,2016,4,109,20192020,N,Regular Season
Michael Bunting,20212022,TOR,L,L,79,23,40,63,27,80,0.8,21,58,2,5,0,0,0,2,175,13.1,15:33,50,1995-09-17,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20182019,N,Regular Season
Andre Burakovsky,20212022,COL,L,L,80,22,39,61,12,18,0.76,18,50,4,11,0,0,0,5,149,14.8,16:16,40,1995-02-09,Klagenfurt,--,AUT,SWE,75,203,2013,1,23,20142015,N,Regular Season
Brent Burns,20212022,SJS,R,D,82,10,44,54,-15,42,0.66,6,35,4,18,0,1,0,0,203,4.9,26:09,0,1985-03-09,Barrie,ON,CAN,CAN,77,228,2003,1,20,20032004,N,Regular Season
Kyle Burroughs,20212022,VAN,R,D,42,1,4,5,-3,39,0.12,1,5,0,0,0,0,0,0,39,2.6,12:56,--,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,Regular Season
Will Butcher,20212022,BUF,L,D,37,2,6,8,-10,0,0.22,2,6,0,2,0,0,0,0,35,5.7,16:29,--,1995-01-06,Sun Prairie,WI,USA,USA,70,195,2013,5,123,20172018,N,Regular Season
