Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Pyotr Kochetkov,20232024,CAR,L,42,40,23,13,--,4,1 031,939,92,0.911,2.33,2371:29,4,0,0,0,8,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Regular Season
Joonas Korpisalo,20232024,OTT,L,55,49,21,26,--,4,1 522,1 354,168,0.89,3.27,3080:28,0,0,1,1,0,1994-04-28,Pori,--,FIN,FIN,75,199,2012,3,62,20152016,N,Regular Season
Darcy Kuemper,20232024,WSH,L,33,30,13,14,--,3,940,837,103,0.89,3.31,1866:32,1,0,1,1,0,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Regular Season
Kevin Lankinen,20232024,NSH,L,24,17,11,6,--,0,610,554,56,0.908,2.82,1191:25,1,0,1,1,0,1995-04-28,Helsinki,--,FIN,FIN,74,190,--,--,--,20202021,N,Regular Season
Devon Levi,20232024,BUF,L,23,21,10,8,--,2,666,599,67,0.899,3.1,1294:54,0,0,0,0,0,2001-12-27,Dollard-des-Ormeaux,QC,CAN,CAN,72,192,2020,7,212,20222023,N,Regular Season
Charlie Lindgren,20232024,WSH,R,50,48,25,16,--,7,1 431,1 304,127,0.911,2.67,2852:23,6,0,0,0,0,1993-12-18,Lakeville,MN,USA,USA,74,179,--,--,--,20152016,N,Regular Season
Ukko-Pekka Luukkonen,20232024,BUF,L,54,51,27,22,--,4,1 470,1 338,132,0.91,2.57,3081:14,5,0,1,1,8,1999-03-09,Espoo,--,FIN,FIN,77,223,2017,2,54,20202021,N,Regular Season
Alex Lyon,20232024,DET,L,44,43,21,18,--,5,1 325,1 198,127,0.904,3.05,2498:51,2,0,1,1,2,1992-12-09,Baudette,MN,USA,USA,73,196,--,--,--,20172018,N,Regular Season
Jacob Markstrom,20232024,CGY,L,48,48,23,23,--,2,1 379,1 248,131,0.905,2.78,2831:07,2,0,5,5,0,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20102011,N,Regular Season
Spencer Martin,20232024,"CBJ,CAR",L,19,16,7,9,--,2,533,474,59,0.889,3.3,1072:13,0,0,0,0,0,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,3,63,20162017,N,Regular Season
Elvis Merzlikins,20232024,CBJ,L,41,40,13,17,--,8,1 266,1 136,130,0.897,3.45,2258:40,1,0,0,0,4,1994-04-13,Riga,--,LVA,LVA,75,190,2014,3,76,20192020,N,Regular Season
Sam Montembeault,20232024,MTL,L,41,40,16,15,--,9,1 307,1 180,127,0.903,3.14,2428:46,0,0,2,2,0,1996-10-30,Becancour,QC,CAN,CAN,75,218,2015,3,77,20182019,N,Regular Season
Petr Mrazek,20232024,CHI,L,56,53,18,31,--,4,1 724,1 565,160,0.908,3.05,3152:40,1,0,0,0,14,1992-02-14,Ostrava,--,CZE,CZE,74,188,2010,5,141,20122013,N,Regular Season
Matt Murray,20232024,DAL,L,1,1,1,0,--,0,23,23,0,1,0,60:00,1,0,0,0,0,1998-02-02,St. Albert,AB,CAN,CAN,73,196,--,--,--,20222023,N,Regular Season
Alex Nedeljkovic,20232024,PIT,L,38,33,18,7,--,7,1 039,937,102,0.902,2.97,2060:28,1,0,0,0,0,1996-01-07,Parma,OH,USA,USA,72,203,2014,2,37,20162017,N,Regular Season
Jake Oettinger,20232024,DAL,L,54,53,35,14,--,4,1 476,1 336,140,0.905,2.72,3084:35,3,0,0,0,2,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20202021,N,Regular Season
Jiri Patera,20232024,VGK,L,6,5,1,3,--,1,196,175,21,0.893,3.98,316:46,0,0,0,0,0,1999-02-24,Praha,--,CZE,CZE,75,212,2017,6,161,20222023,N,Regular Season
Yaniv Perets,20232024,CAR,L,1,0,0,0,--,0,1,1,0,1,0,12:46,0,0,0,0,0,2000-03-04,Dollard-des-Ormeaux,QC,CAN,CAN,73,181,--,--,--,20232024,N,Regular Season
Cal Petersen,20232024,PHI,R,5,4,2,2,--,0,132,114,18,0.864,3.9,276:55,0,0,0,0,0,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,5,129,20182019,N,Regular Season
Calvin Pickard,20232024,EDM,L,23,20,12,7,--,1,581,528,53,0.909,2.45,1296:21,1,0,0,0,2,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20142015,N,Regular Season
Cayden Primeau,20232024,MTL,L,23,21,8,9,--,4,731,665,66,0.91,2.99,1324:50,2,0,2,2,2,1999-08-11,Farmington Hills,MI,USA,USA,75,205,2017,7,199,20192020,N,Regular Season
Ivan Prosvetov,20232024,COL,L,11,8,4,3,--,1,248,222,26,0.895,3.16,494:11,0,0,0,0,0,1999-03-05,Moscow,--,RUS,RUS,77,195,2018,4,114,20202021,N,Regular Season
Jonathan Quick,20232024,NYR,L,27,26,18,6,--,2,771,702,69,0.911,2.62,1582:44,2,0,1,1,8,1986-01-21,Milford,CT,USA,USA,73,220,2005,3,72,20072008,N,Regular Season
Antti Raanta,20232024,CAR,L,24,20,12,7,--,2,493,430,63,0.872,2.99,1265:11,1,0,0,0,0,1989-05-12,Rauma,--,FIN,FIN,72,195,--,--,--,20132014,N,Regular Season
James Reimer,20232024,DET,L,25,20,11,8,--,2,727,657,70,0.904,3.11,1352:24,2,0,0,0,4,1988-03-15,Morweena,MB,CAN,CAN,74,200,2006,4,99,20102011,N,Regular Season
David Rittich,20232024,LAK,L,24,22,13,6,--,3,621,572,49,0.921,2.15,1364:31,3,0,0,0,0,1992-08-19,Jihlava,--,CZE,CZE,76,205,--,--,--,20162017,N,Regular Season
Georgi Romanov,20232024,SJS,L,2,0,0,0,--,0,30,29,1,0.967,1.01,59:15,0,0,0,0,0,1999-12-15,Yekaterinburg,--,RUS,RUS,77,207,--,--,--,20232024,N,Regular Season
Ilya Samsonov,20232024,TOR,L,40,40,23,7,--,8,1 087,967,120,0.89,3.13,2300:58,3,0,1,1,0,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20192020,N,Regular Season
Felix Sandstrom,20232024,PHI,L,5,3,1,2,--,0,96,79,17,0.823,3.87,263:29,0,0,0,0,0,1997-01-12,Gavle,--,SWE,SWE,74,211,2015,3,70,20212022,N,Regular Season
Juuse Saros,20232024,NSH,L,64,64,35,24,--,5,1 845,1 672,173,0.906,2.86,3624:38,3,0,2,2,2,1995-04-19,Forssa,--,FIN,FIN,71,180,2013,4,99,20152016,N,Regular Season
Akira Schmid,20232024,NJD,L,19,15,5,9,--,1,457,409,48,0.895,3.15,914:09,0,0,2,2,2,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20212022,N,Regular Season
Hunter Shepard,20232024,WSH,L,4,4,2,1,--,1,123,110,13,0.894,3.19,244:50,0,0,0,0,0,1995-11-07,Cohasset,MN,USA,USA,72,215,--,--,--,20232024,N,Regular Season
Igor Shesterkin,20232024,NYR,L,55,55,36,17,--,2,1 606,1 466,141,0.913,2.58,3277:06,4,0,1,1,6,1995-12-30,Moscow,--,RUS,RUS,73,195,2014,4,118,20192020,N,Regular Season
Arturs Silovs,20232024,VAN,L,4,4,3,0,--,1,84,74,10,0.881,2.47,243:13,0,0,0,0,0,2001-03-22,Riga,--,LVA,LVA,76,203,2019,6,156,20222023,N,Regular Season
Stuart Skinner,20232024,EDM,L,59,57,36,16,--,5,1 553,1 406,147,0.905,2.62,3361:21,2,0,0,0,0,1998-11-01,Edmonton,AB,CAN,CAN,76,230,2017,3,78,20202021,N,Regular Season
Arvid Soderblom,20232024,CHI,L,32,29,5,22,--,2,942,829,114,0.88,3.92,1744:20,0,0,0,0,0,1999-08-19,Göteborg,--,SWE,SWE,75,180,--,--,--,20212022,N,Regular Season
Mads Sogaard,20232024,OTT,L,6,5,1,3,--,0,135,116,19,0.859,4.05,281:34,0,0,0,0,0,2000-12-13,Aalborg,--,DNK,DNK,79,217,2019,2,37,20212022,N,Regular Season
Ilya Sorokin,20232024,NYI,L,56,55,25,19,--,12,1 821,1 655,167,0.909,3.01,3325:59,2,0,2,2,0,1995-08-04,Mezhdurechensk,--,RUS,RUS,76,211,2014,3,78,20202021,N,Regular Season
Anthony Stolarz,20232024,FLA,L,27,24,16,7,--,2,684,633,51,0.925,2.03,1506:27,2,0,2,2,2,1994-01-20,Edison,NJ,USA,USA,78,243,2012,2,45,20162017,N,Regular Season
Malcolm Subban,20232024,CBJ,L,1,1,0,1,--,0,35,32,3,0.914,3,60:00,0,0,0,0,0,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,1,24,20142015,N,Regular Season
Jeremy Swayman,20232024,BOS,L,44,43,25,10,--,8,1 287,1 179,108,0.916,2.53,2565:51,3,0,1,1,0,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Regular Season
Cam Talbot,20232024,LAK,L,54,52,27,20,--,6,1 490,1 361,130,0.913,2.5,3116:07,3,0,3,3,4,1987-07-05,Caledonia,ON,CAN,CAN,76,200,--,--,--,20132014,N,Regular Season
Daniil Tarasov,20232024,CBJ,L,24,23,8,11,--,3,796,723,73,0.908,3.18,1376:28,0,0,0,0,0,1999-03-27,Novokuznetsk,--,RUS,RUS,77,203,2017,3,86,20212022,N,Regular Season
Logan Thompson,20232024,VGK,R,46,42,25,14,--,5,1 298,1 179,119,0.908,2.7,2645:28,1,0,3,3,0,1997-02-25,Calgary,AB,CAN,CAN,76,205,--,--,--,20202021,N,Regular Season
Matt Tomkins,20232024,TBL,L,6,6,3,2,--,1,185,165,20,0.892,3.33,360:13,0,0,0,0,0,1994-06-19,Edmonton,AB,CAN,CAN,76,191,2012,7,199,20232024,N,Regular Season
Linus Ullmark,20232024,BOS,L,40,39,22,10,--,7,1 207,1 105,103,0.915,2.57,2400:08,2,0,1,1,2,1993-07-31,Lugnvik,--,SWE,SWE,76,215,2012,6,163,20152016,N,Regular Season
Vitek Vanecek,20232024,NJD,L,32,29,17,9,--,3,862,767,95,0.89,3.18,1791:49,0,0,1,1,0,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Regular Season
Semyon Varlamov,20232024,NYI,L,28,27,14,8,--,4,837,768,69,0.918,2.6,1594:44,3,0,0,0,0,1988-04-27,Samara,--,RUS,RUS,74,201,2006,1,23,20082009,N,Regular Season
Andrei Vasilevskiy,20232024,TBL,L,52,52,30,20,--,2,1 477,1 329,148,0.9,2.9,3062:52,2,0,2,2,2,1994-07-25,Tyumen,--,RUS,RUS,76,228,2012,1,19,20142015,N,Regular Season
Karel Vejmelka,20232024,ARI,R,38,33,13,19,--,2,1 089,977,114,0.897,3.35,2040:08,1,0,2,2,2,1996-05-25,Trebic,--,CZE,CZE,76,221,2015,5,145,20212022,N,Regular Season
Matt Villalta,20232024,ARI,L,2,1,0,1,--,0,29,24,5,0.828,4.17,71:58,0,0,0,0,0,1999-06-03,Kingston,ON,CAN,CAN,75,190,2017,3,72,20232024,N,Regular Season
Dan Vladar,20232024,CGY,L,20,19,8,9,--,2,574,506,68,0.882,3.62,1128:31,0,0,0,0,0,1997-08-20,Prague,--,CZE,CZE,77,209,2015,3,75,20202021,N,Regular Season
Jesper Wallstedt,20232024,MIN,L,3,3,2,1,--,0,87,78,9,0.897,3.01,179:17,1,0,0,0,0,2002-11-14,Vasteras,--,SWE,SWE,75,214,2021,1,20,20232024,N,Regular Season
Scott Wedgewood,20232024,DAL,L,32,28,16,7,--,5,844,759,85,0.899,2.85,1789:08,0,0,0,0,0,1992-08-14,Brampton,ON,CAN,CAN,74,201,2010,3,84,20152016,N,Regular Season
Dustin Wolf,20232024,CGY,L,17,15,7,7,--,1,467,417,50,0.893,3.16,950:30,0,0,0,0,0,2001-04-16,Gilroy,CA,USA,USA,72,166,2019,7,214,20222023,N,Regular Season
Joseph Woll,20232024,TOR,L,25,23,12,11,--,1,772,700,72,0.907,2.94,1471:39,0,0,0,0,0,1998-07-12,Dardenne Prairie,MO,USA,USA,75,206,2016,3,62,20212022,N,Regular Season
