Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Jake Allen,20232024,"MTL,NJD",L,34,33,12,18,--,4,1 087,973,114,0.895,3.44,1986:53,0,0,1,1,2,1990-08-07,Fredericton,NB,CAN,CAN,74,197,2008,2,34,20122013,N,Regular Season
Frederik Andersen,20232024,CAR,L,16,16,13,2,--,0,410,382,28,0.932,1.84,912:53,3,0,1,1,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Regular Season
Justus Annunen,20232024,COL,L,14,12,8,4,--,1,414,384,30,0.928,2.25,801:05,2,0,0,0,0,2000-03-11,Kempele,--,FIN,FIN,76,210,2018,3,64,20212022,N,Regular Season
Kenneth Appleby,20232024,NYI,L,1,0,0,0,--,0,8,6,2,0.75,6,20:00,0,0,0,0,0,1995-04-10,North Bay,ON,CAN,CAN,77,216,--,--,--,20172018,N,Regular Season
Yaroslav Askarov,20232024,NSH,R,2,1,1,0,--,0,35,33,2,0.943,1.47,81:40,0,0,0,0,0,2002-06-16,Omsk,--,RUS,RUS,75,178,2020,1,11,20222023,N,Regular Season
Jordan Binnington,20232024,STL,L,57,55,28,21,--,5,1 786,1 630,156,0.913,2.84,3291:29,3,0,3,3,8,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20152016,N,Regular Season
Mackenzie Blackwood,20232024,SJS,L,44,41,10,25,--,4,1 383,1 243,140,0.899,3.45,2437:08,2,0,0,0,2,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,2,42,20182019,N,Regular Season
Sergei Bobrovsky,20232024,FLA,L,58,58,36,17,--,4,1 584,1 449,135,0.915,2.37,3414:14,6,0,2,2,4,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Regular Season
Laurent Brossoit,20232024,WPG,L,23,22,15,5,--,2,620,575,45,0.927,2,1351:02,3,0,0,0,2,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20142015,N,Regular Season
Jack Campbell,20232024,EDM,L,5,5,1,4,--,0,157,137,20,0.873,4.5,266:47,0,0,0,0,0,1992-01-09,Port Huron,MI,USA,USA,75,200,2010,1,11,20132014,N,Regular Season
Magnus Chrona,20232024,SJS,L,9,8,1,6,--,1,262,225,37,0.859,4.71,471:15,0,0,0,0,0,2000-08-28,Stockholm,--,SWE,SWE,78,225,2018,5,152,20232024,N,Regular Season
Eric Comrie,20232024,BUF,L,10,10,2,7,--,0,254,222,32,0.874,3.69,519:54,0,0,0,0,0,1995-07-06,Edmonton,AB,CAN,CAN,73,190,2013,2,59,20162017,N,Regular Season
Devin Cooley,20232024,SJS,L,6,6,2,3,--,1,192,167,25,0.87,4.98,301:29,0,0,0,0,0,1997-05-25,Los Gatos,CA,USA,USA,77,192,--,--,--,20232024,N,Regular Season
Pheonix Copley,20232024,LAK,L,8,8,4,1,--,2,177,154,23,0.87,3.16,436:17,1,0,0,0,0,1992-01-18,North Pole,AK,USA,USA,76,205,--,--,--,20152016,N,Regular Season
Joey Daccord,20232024,SEA,L,50,46,19,18,--,11,1 374,1 258,116,0.916,2.46,2832:47,3,0,0,0,0,1996-08-19,Boston,MA,USA,USA,74,201,2015,7,199,20182019,N,Regular Season
Nico Daws,20232024,NJD,L,21,20,9,11,--,0,568,508,60,0.894,3.15,1144:03,0,0,1,1,0,2000-12-22,Munich,--,DEU,CAN,76,205,2020,3,84,20212022,N,Regular Season
Thatcher Demko,20232024,VAN,L,51,51,35,14,--,2,1 492,1 369,123,0.918,2.45,3015:53,5,0,1,1,0,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20172018,N,Regular Season
Casey DeSmith,20232024,VAN,L,29,27,12,9,--,6,759,680,80,0.896,2.89,1663:29,1,0,1,1,0,1991-08-13,Rochester,NH,USA,USA,72,180,--,--,--,20172018,N,Regular Season
Louis Domingue,20232024,NYR,R,1,1,1,0,--,0,26,25,1,0.962,1,60:00,0,0,0,0,0,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,207,2010,5,138,20142015,N,Regular Season
Lukas Dostal,20232024,ANA,L,44,38,14,23,--,3,1 310,1 181,129,0.902,3.33,2322:49,1,0,0,0,8,2000-06-22,Brno,--,CZE,CZE,74,190,2018,3,85,20212022,N,Regular Season
Chris Driedger,20232024,SEA,L,2,2,1,1,--,0,60,55,5,0.917,2.51,119:35,0,0,0,0,0,1994-05-18,Winnipeg,MB,CAN,CAN,76,210,2012,3,76,20142015,N,Regular Season
Samuel Ersson,20232024,PHI,L,51,49,23,19,--,7,1 204,1 072,132,0.89,2.82,2809:28,4,0,0,0,4,1999-10-20,Falun,--,SWE,SWE,75,194,2018,5,143,20222023,N,Regular Season
Ivan Fedotov,20232024,PHI,L,3,1,0,1,--,1,53,43,10,0.811,4.95,121:09,0,0,0,0,0,1996-11-28,Lappeenranta,--,FIN,RUS,79,214,2015,7,188,20232024,N,Regular Season
Marc-Andre Fleury,20232024,MIN,L,40,36,17,15,--,5,1 056,945,111,0.895,2.98,2232:40,2,0,1,1,4,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20032004,N,Regular Season
Anton Forsberg,20232024,OTT,L,30,28,15,12,--,0,765,681,84,0.89,3.21,1569:45,2,0,1,1,2,1992-11-27,Härnösand,--,SWE,SWE,75,198,2011,7,188,20142015,N,Regular Season
Alexandar Georgiev,20232024,COL,L,63,62,38,18,--,5,1 770,1 588,183,0.897,3.02,3637:57,2,0,2,2,4,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20172018,N,Regular Season
John Gibson,20232024,ANA,L,46,44,13,27,--,2,1 343,1 192,151,0.888,3.54,2561:29,0,0,0,0,12,1993-07-14,Pittsburgh,PA,USA,USA,74,214,2011,2,39,20132014,N,Regular Season
Jet Greaves,20232024,CBJ,L,9,8,3,6,--,0,327,297,30,0.908,3.49,515:52,0,0,0,0,0,2001-03-30,Cambridge,ON,CAN,CAN,72,190,--,--,--,20222023,N,Regular Season
Philipp Grubauer,20232024,SEA,L,36,34,14,16,--,2,941,846,95,0.899,2.85,1996:36,2,0,1,1,4,1991-11-25,Rosenheim,--,DEU,DEU,73,188,2010,4,112,20122013,N,Regular Season
Filip Gustavsson,20232024,MIN,L,45,43,20,18,--,4,1 283,1 154,129,0.899,3.06,2526:33,3,0,1,1,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20202021,N,Regular Season
Carter Hart,20232024,PHI,L,26,25,12,9,--,3,727,659,68,0.906,2.8,1455:11,1,0,1,1,0,1998-08-13,Sherwood Park,AB,CAN,CAN,74,196,2016,2,48,20182019,N,Regular Season
Magnus Hellberg,20232024,PIT,L,3,1,1,0,--,0,64,59,5,0.922,2.5,119:53,0,0,0,0,0,1991-04-04,Uppsala,--,SWE,SWE,78,206,2011,2,38,20132014,N,Regular Season
Connor Hellebuyck,20232024,WPG,L,60,60,37,19,--,4,1 798,1 656,142,0.921,2.39,3567:20,5,0,0,0,2,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20152016,N,Regular Season
Adin Hill,20232024,VGK,L,35,35,19,12,--,2,979,890,89,0.909,2.71,1968:49,2,0,1,1,0,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,3,76,20172018,N,Regular Season
Joel Hofer,20232024,STL,L,30,27,15,12,--,1,830,759,72,0.914,2.65,1628:39,1,0,1,1,4,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,4,107,20212022,N,Regular Season
Ville Husso,20232024,DET,L,19,18,9,5,--,2,556,496,60,0.892,3.55,1012:55,0,0,1,1,0,1995-02-06,Helsinki,--,FIN,FIN,75,205,2014,4,94,20202021,N,Regular Season
Michael Hutchinson,20232024,DET,R,1,1,0,1,--,0,36,33,3,0.917,3.11,57:48,0,0,0,0,0,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,3,77,20132014,N,Regular Season
Connor Ingram,20232024,ARI,L,50,48,23,21,--,3,1 461,1 325,136,0.907,2.91,2802:56,6,0,3,3,0,1997-03-31,Saskatoon,SK,CAN,CAN,73,218,2016,3,88,20212022,N,Regular Season
Tristan Jarry,20232024,PIT,L,51,48,19,25,--,5,1 369,1 236,133,0.903,2.91,2740:38,6,1,0,1,4,1995-04-29,Surrey,BC,CAN,CAN,74,195,2013,2,44,20162017,N,Regular Season
Jonas Johansson,20232024,TBL,L,26,24,12,7,--,5,752,669,83,0.89,3.37,1477:29,2,0,0,0,0,1995-09-19,Gavle,--,SWE,SWE,77,218,2014,3,61,20192020,N,Regular Season
Martin Jones,20232024,TOR,L,22,19,11,8,--,1,574,518,56,0.902,2.87,1169:40,2,0,0,0,0,1990-01-10,North Vancouver,BC,CAN,CAN,77,203,--,--,--,20132014,N,Regular Season
Kaapo Kahkonen,20232024,"SJS,NJD",L,37,33,7,24,--,3,1 139,1 023,116,0.898,3.64,1914:13,1,0,1,1,4,1996-08-16,Helsinki,--,FIN,FIN,74,217,2014,4,109,20192020,N,Regular Season
