Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Matt Murray,20242025,TOR,L,1,0,0,0,--,7,6,1,0.857,4.41,13:37,0,0,0,0,0,1994-05-25,Thunder Bay,ON,CAN,CAN,77,220,2012,3,83,20152016,N,Playoffs
Jake Oettinger,20242025,DAL,L,18,18,9,8,--,503,455,48,0.905,2.82,1021:21,0,0,0,0,2,1998-12-18,Lakeville,MN,USA,USA,78,225,2017,1,26,20192020,N,Playoffs
Calvin Pickard,20242025,EDM,L,10,7,7,1,--,219,194,25,0.886,2.85,526:09,0,0,0,0,0,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20232024,N,Playoffs
Akira Schmid,20242025,VGK,L,1,0,0,0,--,9,9,0,1,0,18:56,0,0,0,0,0,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20222023,N,Playoffs
Stuart Skinner,20242025,EDM,L,15,15,7,7,--,398,354,44,0.889,2.99,881:29,3,0,0,0,2,1998-11-01,Edmonton,AB,CAN,CAN,76,215,2017,3,78,20222023,N,Playoffs
Anthony Stolarz,20242025,TOR,L,7,7,4,2,--,151,136,15,0.901,2.19,410:18,0,0,0,0,2,1994-01-20,Edison,NJ,USA,USA,78,248,2012,2,45,20232024,N,Playoffs
Logan Thompson,20242025,WSH,R,10,10,5,5,--,290,266,24,0.917,2.41,596:30,0,0,0,0,0,1997-02-25,Calgary,AB,CAN,CAN,76,207,--,--,--,20232024,N,Playoffs
Linus Ullmark,20242025,OTT,L,6,6,2,4,--,150,132,18,0.88,2.84,380:02,1,0,0,0,0,1993-07-31,Lugnvik,--,SWE,SWE,76,223,2012,6,163,20212022,N,Playoffs
Andrei Vasilevskiy,20242025,TBL,L,5,5,1,4,--,125,109,16,0.872,3.27,293:21,0,0,0,0,0,1994-07-25,Tyumen,--,RUS,RUS,76,223,2012,1,19,20142015,N,Playoffs
Scott Wedgewood,20242025,COL,L,1,0,0,0,--,8,8,0,1,0,18:30,0,0,0,0,0,1992-08-14,Brampton,ON,CAN,CAN,74,201,2010,3,84,20222023,N,Playoffs
Joseph Woll,20242025,TOR,L,7,6,3,4,--,201,178,23,0.886,3.56,387:26,1,0,0,0,0,1998-07-12,Dardenne Prairie,MO,USA,USA,75,212,2016,3,62,20222023,N,Playoffs
