Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Frederik Andersen,20242025,CAR,L,13,13,8,5,--,269,244,25,0.907,2.02,743:04,2,0,0,0,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Playoffs
Jordan Binnington,20242025,STL,L,7,7,3,4,--,192,173,19,0.901,2.53,450:30,0,0,0,0,0,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20182019,N,Playoffs
Mackenzie Blackwood,20242025,COL,L,7,7,3,4,--,176,157,19,0.892,2.71,420:45,1,0,0,0,0,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,2,42,20242025,N,Playoffs
Sergei Bobrovsky,20242025,FLA,L,23,23,16,7,--,618,565,53,0.914,2.2,1442:34,3,0,0,0,0,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Playoffs
Eric Comrie,20242025,WPG,L,3,0,0,0,--,13,12,1,0.923,1.4,42:59,0,0,0,0,0,1995-07-06,Edmonton,AB,CAN,CAN,73,190,2013,2,59,20242025,N,Playoffs
Casey DeSmith,20242025,DAL,L,2,0,0,1,--,34,30,4,0.882,3.42,70:06,0,0,0,0,0,1991-08-13,Rochester,NH,USA,USA,72,188,--,--,--,20212022,N,Playoffs
Jakub Dobes,20242025,MTL,L,3,2,1,2,--,59,52,7,0.881,2.91,144:07,0,0,0,0,0,2001-05-27,Ostrava,--,CZE,CZE,76,215,2020,5,136,20242025,N,Playoffs
Marc-Andre Fleury,20242025,MIN,L,1,0,0,1,--,7,6,1,0.857,2.49,24:05,0,0,0,0,0,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20062007,N,Playoffs
Filip Gustavsson,20242025,MIN,L,6,6,2,3,--,185,169,16,0.914,2.71,354:14,0,0,0,0,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20222023,N,Playoffs
Connor Hellebuyck,20242025,WPG,L,13,13,6,7,--,290,251,39,0.866,3.08,759:14,2,0,0,0,0,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20172018,N,Playoffs
Adin Hill,20242025,VGK,L,11,11,5,6,--,292,259,33,0.887,2.93,676:30,0,0,0,0,0,1996-05-11,Comox,BC,CAN,CAN,76,222,2015,3,76,20222023,N,Playoffs
Pyotr Kochetkov,20242025,CAR,L,4,2,1,1,--,83,71,12,0.855,3.6,199:58,0,0,0,0,2,1999-06-25,Penza,--,RUS,RUS,75,196,2019,2,36,20212022,N,Playoffs
Darcy Kuemper,20242025,LAK,L,6,6,2,4,--,207,184,23,0.889,3.74,369:20,0,0,0,0,0,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Playoffs
Charlie Lindgren,20242025,WSH,R,1,0,0,0,--,5,4,1,0.8,9.07,6:37,0,0,0,0,0,1993-12-18,Lakeville,MN,USA,USA,74,190,--,--,--,20232024,N,Playoffs
Jacob Markstrom,20242025,NJD,L,5,5,1,4,--,180,164,16,0.911,2.78,345:08,0,0,0,0,0,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20192020,N,Playoffs
Samuel Montembeault,20242025,MTL,L,3,3,0,2,--,76,69,7,0.908,2.76,152:07,0,0,0,0,0,1996-10-30,Becancour,QC,CAN,CAN,75,218,2015,3,77,20242025,N,Playoffs
