Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Artur Akhtyamov,20252026,TOR,L,3,2,0,2,--,0,81,71,11,0.877,5.24,126:00,0,0,0,0,0,2001-10-31,Kazan,--,RUS,RUS,74,176,2020,4,106,20252026,N,Regular Season
Jake Allen,20252026,NJD,L,37,36,17,17,--,2,1 031,932,100,0.904,2.74,2186:34,1,0,1,1,0,1990-08-07,Fredericton,NB,CAN,CAN,74,197,2008,2,34,20122013,N,Regular Season
Frederik Andersen,20252026,CAR,L,35,35,16,14,--,5,849,742,107,0.874,3.05,2101:52,0,0,1,1,4,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Regular Season
Justus Annunen,20252026,NSH,L,28,23,10,12,--,2,711,645,67,0.907,2.68,1500:32,1,0,0,0,2,2000-03-11,Kempele,--,FIN,FIN,76,210,2018,3,64,20212022,N,Regular Season
Yaroslav Askarov,20252026,SJS,R,47,47,21,20,--,4,1 341,1 185,157,0.884,3.63,2596:29,0,0,0,0,2,2002-06-16,Omsk,--,RUS,RUS,75,180,2020,1,11,20222023,N,Regular Season
Jordan Binnington,20252026,STL,L,41,39,13,20,--,7,1 010,882,128,0.873,3.33,2307:48,1,0,2,2,4,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20152016,N,Regular Season
Mackenzie Blackwood,20252026,COL,L,39,36,23,10,--,2,933,843,90,0.904,2.51,2155:41,3,0,0,0,0,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,2,42,20182019,N,Regular Season
Sergei Bobrovsky,20252026,FLA,L,52,51,27,23,--,1,1 250,1 096,154,0.877,3.07,3009:39,4,0,2,2,9,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Regular Season
Laurent Brossoit,20252026,SJS,L,1,1,0,1,--,0,23,18,6,0.783,6.09,59:09,0,0,0,0,0,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20142015,N,Regular Season
Brandon Bussi,20252026,CAR,R,39,39,31,6,--,2,912,816,97,0.895,2.47,2360:49,2,0,1,1,2,1998-06-25,Sound Beach,NY,USA,USA,76,218,--,--,--,20252026,N,Regular Season
Vyacheslav Buteyets,20252026,ANA,L,1,0,0,0,--,0,13,10,3,0.769,9,20:00,0,0,0,0,0,2002-05-29,Moscow,--,RUS,RUS,76,220,2022,6,178,20252026,N,Regular Season
Drew Commesso,20252026,CHI,L,3,3,2,1,--,0,85,78,7,0.918,2.31,181:43,1,0,0,0,0,2002-07-19,Norwell,MA,USA,USA,74,180,2020,2,46,20242025,N,Regular Season
Eric Comrie,20252026,WPG,L,25,24,12,11,--,1,654,582,72,0.89,3.13,1381:30,0,0,0,0,0,1995-07-06,Edmonton,AB,CAN,CAN,73,190,2013,2,59,20162017,N,Regular Season
Devin Cooley,20252026,CGY,L,31,26,10,10,--,6,847,770,77,0.909,2.69,1718:00,0,0,1,1,2,1997-05-25,Los Gatos,CA,USA,USA,77,192,--,--,--,20232024,N,Regular Season
Pheonix Copley,20252026,LAK,L,1,1,0,1,--,0,28,25,3,0.893,3.07,58:34,0,0,0,0,0,1992-01-18,North Pole,AK,USA,USA,76,205,--,--,--,20152016,N,Regular Season
Joey Daccord,20252026,SEA,L,47,46,20,20,--,6,1 307,1 173,136,0.897,3.03,2693:13,2,0,3,3,4,1996-08-19,Boston,MA,USA,USA,74,201,2015,7,199,20182019,N,Regular Season
Nico Daws,20252026,NJD,L,3,3,2,1,--,0,87,79,8,0.908,2.62,183:16,0,0,0,0,0,2000-12-22,Munich,--,DEU,CAN,76,205,2020,3,84,20212022,N,Regular Season
Thatcher Demko,20252026,VAN,L,20,20,8,10,--,1,514,461,54,0.897,2.9,1115:52,1,0,1,1,0,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20172018,N,Regular Season
Casey DeSmith,20252026,DAL,L,30,28,15,8,--,6,760,689,71,0.907,2.43,1755:00,1,0,0,0,2,1991-08-13,Rochester,NH,USA,USA,72,188,--,--,--,20172018,N,Regular Season
Michael DiPietro,20252026,BOS,L,1,0,0,0,--,0,2,2,0,1,0,6:03,0,0,0,0,0,1999-06-09,Windsor,ON,CAN,CAN,73,205,2017,3,64,20182019,N,Regular Season
Jakub Dobes,20252026,MTL,L,43,42,29,10,--,4,1 187,1 070,117,0.901,2.78,2525:35,0,0,0,0,2,2001-05-27,Ostrava,--,CZE,CZE,76,215,2020,5,136,20242025,N,Regular Season
Lukas Dostal,20252026,ANA,L,56,55,30,20,--,4,1 513,1 344,169,0.888,3.1,3267:56,0,0,1,1,8,2000-06-22,Brno,--,CZE,CZE,74,190,2018,3,85,20212022,N,Regular Season
Colten Ellis,20252026,BUF,L,16,14,8,4,--,2,455,411,44,0.903,2.9,911:20,1,0,1,1,0,2000-10-05,Whycocomagh,NS,CAN,CAN,73,191,2019,3,93,20252026,N,Regular Season
Samuel Ersson,20252026,PHI,L,33,29,14,11,--,5,744,647,97,0.87,3.12,1866:35,0,0,1,1,2,1999-10-20,Falun,--,SWE,SWE,75,194,2018,5,143,20222023,N,Regular Season
Anton Forsberg,20252026,LAK,L,36,31,16,12,--,5,952,866,87,0.91,2.57,2032:06,3,0,0,0,4,1992-11-27,Härnösand,--,SWE,SWE,75,200,2011,7,188,20142015,N,Regular Season
Jacob Fowler,20252026,MTL,L,17,17,9,6,--,2,448,407,41,0.908,2.43,1010:42,1,0,0,0,0,2004-11-24,Melbourne,FL,USA,USA,73,223,2023,3,69,20252026,N,Regular Season
Dylan Garand,20252026,NYR,L,3,3,2,0,--,1,96,91,5,0.948,1.62,185:00,0,0,0,0,0,2002-06-07,Victoria,BC,CAN,CAN,73,185,2020,4,103,20252026,N,Regular Season
John Gibson,20252026,DET,L,57,57,29,22,--,4,1 461,1 317,144,0.901,2.72,3181:14,4,0,1,1,4,1993-07-14,Pittsburgh,PA,USA,USA,75,209,2011,2,39,20132014,N,Regular Season
Jet Greaves,20252026,CBJ,L,55,53,26,19,--,9,1 539,1 397,142,0.908,2.6,3276:06,2,0,1,1,0,2001-03-30,Cambridge,ON,CAN,CAN,72,188,--,--,--,20222023,N,Regular Season
Philipp Grubauer,20252026,SEA,L,32,28,13,12,--,4,866,787,79,0.909,2.65,1791:06,0,0,2,2,0,1991-11-25,Rosenheim,--,DEU,DEU,73,188,2010,4,112,20122013,N,Regular Season
Filip Gustavsson,20252026,MIN,L,50,49,28,15,--,6,1 377,1 245,133,0.904,2.69,2967:55,4,0,2,2,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20202021,N,Regular Season
Brandon Halverson,20252026,TBL,L,2,1,0,1,--,0,21,17,4,0.81,4.22,56:53,0,0,0,0,0,1996-03-29,Traverse City,MI,USA,USA,77,235,2014,2,59,20172018,N,Regular Season
Carter Hart,20252026,VGK,L,18,18,11,3,--,3,422,376,46,0.891,2.71,1019:47,0,0,0,0,2,1998-08-13,Sherwood Park,AB,CAN,CAN,74,196,2016,2,48,20182019,N,Regular Season
Connor Hellebuyck,20252026,WPG,L,57,57,23,23,--,11,1 547,1 385,162,0.895,2.86,3401:27,0,0,0,0,4,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20152016,N,Regular Season
Dennis Hildeby,20252026,TOR,L,20,14,5,7,--,4,548,501,48,0.914,2.86,1008:44,1,0,0,0,0,2001-08-19,Jarfalla,--,SWE,SWE,79,231,2022,4,122,20242025,N,Regular Season
Adin Hill,20252026,VGK,L,27,27,10,9,--,6,587,511,76,0.871,3.04,1497:49,1,0,1,1,2,1996-05-11,Comox,BC,CAN,CAN,76,222,2015,3,76,20172018,N,Regular Season
Joel Hofer,20252026,STL,L,46,43,24,13,--,5,1 250,1 137,114,0.91,2.61,2624:39,6,0,0,0,4,2000-07-30,Winnipeg,MB,CAN,CAN,77,193,2018,4,107,20212022,N,Regular Season
Marcus Hogberg,20252026,NYI,L,1,0,0,0,--,0,7,5,2,0.714,8.9,13:29,0,0,0,0,0,1994-11-25,Orebro,--,SWE,SWE,77,232,2013,3,78,20182019,N,Regular Season
Ville Husso,20252026,ANA,L,20,19,10,8,--,2,534,472,62,0.884,3.25,1145:38,0,0,0,0,2,1995-02-06,Helsinki,--,FIN,FIN,75,205,2014,4,94,20202021,N,Regular Season
Connor Ingram,20252026,EDM,L,32,30,16,10,--,3,763,686,77,0.899,2.6,1778:14,2,0,2,2,2,1997-03-31,Saskatoon,SK,CAN,CAN,73,218,2016,3,88,20212022,N,Regular Season
Tristan Jarry,20252026,"PIT,EDM",L,33,29,18,9,--,3,832,734,98,0.882,3.32,1773:37,2,0,1,1,0,1995-04-29,Surrey,BC,CAN,CAN,76,201,2013,2,44,20162017,N,Regular Season
Jonas Johansson,20252026,TBL,L,25,23,11,10,--,2,670,592,78,0.884,3.29,1423:31,0,0,0,0,0,1995-09-19,Gavle,--,SWE,SWE,77,220,2014,3,61,20192020,N,Regular Season
Spencer Knight,20252026,CHI,L,55,55,19,25,--,11,1 583,1 428,155,0.902,2.82,3293:15,3,0,1,1,0,2001-04-19,Darien,CT,USA,USA,75,191,2019,1,13,20202021,N,Regular Season
Pyotr Kochetkov,20252026,CAR,L,9,8,6,2,--,0,189,170,19,0.899,2.33,490:09,1,0,0,0,0,1999-06-25,Penza,--,RUS,RUS,75,196,2019,2,36,20212022,N,Regular Season
Nikke Kokko,20252026,SEA,L,3,3,1,2,--,0,82,73,9,0.89,3.04,177:41,0,0,0,0,0,2004-03-14,Oulu,--,FIN,FIN,75,184,2022,2,58,20242025,N,Regular Season
Aleksei Kolosov,20252026,PHI,L,4,2,0,2,--,0,47,39,8,0.83,4,120:01,0,0,0,0,0,2002-01-04,Minsk,--,BLR,BLR,73,185,2021,3,78,20242025,N,Regular Season
Joonas Korpisalo,20252026,BOS,L,31,28,14,9,--,6,851,761,90,0.894,3.15,1713:05,1,0,0,0,2,1994-04-28,Pori,--,FIN,FIN,76,200,2012,3,62,20152016,N,Regular Season
Darcy Kuemper,20252026,LAK,L,50,50,19,14,--,15,1 234,1 100,134,0.891,2.78,2887:54,3,0,1,1,6,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Regular Season
Kevin Lankinen,20252026,VAN,L,47,43,11,27,--,5,1 285,1 125,160,0.875,3.7,2592:21,0,0,2,2,4,1995-04-28,Helsinki,--,FIN,FIN,74,190,--,--,--,20202021,N,Regular Season
Carl Lindbom,20252026,VGK,L,8,8,2,4,--,2,189,165,24,0.873,3,480:40,0,0,0,0,0,2003-05-20,Stockholm,--,SWE,SWE,73,186,2021,7,222,20252026,N,Regular Season
Charlie Lindgren,20252026,WSH,R,21,20,9,8,--,3,602,529,73,0.879,3.52,1246:02,1,0,1,1,8,1993-12-18,Lakeville,MN,USA,USA,74,190,--,--,--,20152016,N,Regular Season
Ukko-Pekka Luukkonen,20252026,BUF,L,35,34,22,9,--,3,930,846,85,0.91,2.52,2027:46,1,0,1,1,4,1999-03-09,Espoo,--,FIN,FIN,77,223,2017,2,54,20202021,N,Regular Season
Alex Lyon,20252026,BUF,L,36,34,20,10,--,4,979,888,92,0.907,2.77,1992:01,3,0,1,1,4,1992-12-09,Baudette,MN,USA,USA,73,199,--,--,--,20172018,N,Regular Season
Jacob Markstrom,20252026,NJD,L,44,43,23,19,--,1,1 113,983,130,0.883,3.07,2544:01,1,0,4,4,13,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20102011,N,Regular Season
Spencer Martin,20252026,NYR,L,6,4,1,3,--,0,147,127,20,0.864,4.13,290:39,0,0,0,0,0,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,3,63,20162017,N,Regular Season
Leevi Meriläinen,20252026,OTT,L,20,19,8,10,--,1,457,393,64,0.86,3.51,1094:29,0,0,0,0,0,2002-08-13,Oulu,--,FIN,FIN,74,196,2020,3,71,20222023,N,Regular Season
Elvis Merzlikins,20252026,CBJ,L,30,29,14,11,--,3,812,717,95,0.883,3.4,1678:37,1,0,2,2,0,1994-04-13,Riga,--,LVA,LVA,75,190,2014,3,76,20192020,N,Regular Season
Thomas Milic,20252026,WPG,L,3,1,0,1,--,0,62,54,8,0.871,3.46,138:38,0,0,0,0,2,2003-04-14,New Westminster,BC,CAN,CAN,72,175,2023,5,151,20252026,N,Regular Season
Trent Miner,20252026,COL,L,4,3,1,0,--,3,104,97,8,0.933,2.03,236:34,1,0,0,0,0,2001-02-05,Brandon,MB,CAN,CAN,73,185,2019,7,202,20242025,N,Regular Season
Samuel Montembeault,20252026,MTL,L,25,23,10,8,--,4,635,554,81,0.872,3.43,1418:12,0,0,0,0,0,1996-10-30,Becancour,QC,CAN,CAN,75,218,2015,3,77,20182019,N,Regular Season
Petr Mrazek,20252026,ANA,L,10,8,3,5,--,0,247,212,35,0.858,4.07,515:53,0,0,0,0,0,1992-02-14,Ostrava,--,CZE,CZE,74,192,2010,5,141,20122013,N,Regular Season
Sergei Murashov,20252026,PIT,R,5,4,1,1,--,2,116,104,12,0.897,2.56,281:17,1,0,0,0,0,2004-04-01,Yaroslavl,--,RUS,RUS,74,185,2022,4,118,20252026,N,Regular Season
Matt Murray,20252026,SEA,L,5,4,0,2,--,1,102,94,8,0.922,2.21,216:53,0,0,0,0,0,1994-05-25,Thunder Bay,ON,CAN,CAN,77,220,2012,3,83,20152016,N,Regular Season
Alex Nedeljkovic,20252026,SJS,L,40,34,18,14,--,4,1 049,940,109,0.896,2.87,2277:58,0,0,1,1,9,1996-01-07,Parma,OH,USA,USA,72,205,2014,2,37,20162017,N,Regular Season
Jake Oettinger,20252026,DAL,L,54,54,35,12,--,6,1 372,1 234,138,0.899,2.59,3194:11,4,0,1,1,0,1998-12-18,Lakeville,MN,USA,USA,78,225,2017,1,26,20202021,N,Regular Season
Victor Ostman,20252026,SEA,L,1,1,0,1,--,0,35,33,2,0.943,2.1,57:10,0,0,0,0,0,2000-10-03,Danderyd,--,SWE,SWE,76,205,--,--,--,20242025,N,Regular Season
Jiri Patera,20252026,VAN,L,1,1,0,1,--,0,40,33,7,0.825,7.39,56:49,0,0,0,0,0,1999-02-24,Praha,--,CZE,CZE,75,212,2017,6,161,20222023,N,Regular Season
Calvin Pickard,20252026,EDM,L,16,13,5,6,--,2,410,357,53,0.871,3.68,864:08,0,0,0,0,0,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20142015,N,Regular Season
Cayden Primeau,20252026,TOR,L,3,3,2,1,--,0,80,67,13,0.838,4.3,181:28,0,0,0,0,0,1999-08-11,Farmington Hills,MI,USA,USA,75,205,2017,7,199,20192020,N,Regular Season
Jonathan Quick,20252026,NYR,L,25,24,6,17,--,2,671,598,73,0.891,3.09,1418:00,2,0,1,1,14,1986-01-21,Milford,CT,USA,USA,73,219,2005,3,72,20072008,N,Regular Season
James Reimer,20252026,OTT,L,14,13,7,4,--,2,289,256,33,0.886,2.42,817:47,1,0,0,0,0,1988-03-15,Morweena,MB,CAN,CAN,74,200,2006,4,99,20102011,N,Regular Season
David Rittich,20252026,NYI,L,30,28,14,10,--,3,720,644,76,0.894,2.76,1651:21,2,0,0,0,0,1992-08-19,Jihlava,--,CZE,CZE,75,200,--,--,--,20162017,N,Regular Season
Juuse Saros,20252026,NSH,L,59,59,28,22,--,8,1 700,1 519,181,0.894,3.16,3432:33,0,0,0,0,2,1995-04-19,Forssa,--,FIN,FIN,71,180,2013,4,99,20152016,N,Regular Season
Akira Schmid,20252026,VGK,L,34,29,16,10,--,6,791,706,85,0.893,2.59,1965:47,2,0,1,1,0,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20212022,N,Regular Season
Arsenii Sergeev,20252026,CGY,L,1,1,1,0,--,0,28,27,1,0.964,1,60:00,0,0,0,0,0,2002-12-16,Yaroslavl,--,RUS,RUS,75,192,2021,7,205,20252026,N,Regular Season
Hunter Shepard,20252026,OTT,L,1,0,0,1,--,0,12,10,2,0.833,3.35,35:47,0,0,0,0,0,1995-11-07,Cohasset,MN,USA,USA,71,225,--,--,--,20232024,N,Regular Season
Igor Shesterkin,20252026,NYR,L,51,51,25,19,--,6,1 425,1 299,126,0.912,2.5,3024:13,1,0,0,0,11,1995-12-30,Moscow,--,RUS,RUS,73,199,2014,4,118,20192020,N,Regular Season
Arturs Silovs,20252026,PIT,L,39,38,19,12,--,8,1 020,906,115,0.888,3.07,2246:33,2,0,3,3,4,2001-03-22,Riga,--,LVA,LVA,76,208,2019,6,156,20222023,N,Regular Season
Stuart Skinner,20252026,"EDM,PIT",L,50,50,23,17,--,9,1 267,1 125,142,0.888,2.92,2921:57,2,0,1,1,0,1998-11-01,Edmonton,AB,CAN,CAN,76,215,2017,3,78,20202021,N,Regular Season
Arvid Soderblom,20252026,CHI,L,26,24,8,13,--,3,774,681,93,0.88,3.8,1468:37,1,0,0,0,4,1999-08-19,Göteborg,--,SWE,SWE,75,180,--,--,--,20212022,N,Regular Season
Mads Sogaard,20252026,OTT,L,2,1,1,0,--,0,36,30,6,0.833,4.65,77:25,0,0,0,0,0,2000-12-13,Aalborg,--,DNK,DNK,79,231,2019,2,37,20212022,N,Regular Season
Ilya Sorokin,20252026,NYI,L,55,54,29,24,--,2,1 530,1 386,144,0.906,2.68,3226:10,7,0,1,1,4,1995-08-04,Mezhdurechensk,--,RUS,RUS,75,189,2014,3,78,20202021,N,Regular Season
Clay Stevenson,20252026,WSH,L,4,4,3,1,--,0,101,93,8,0.921,2,239:44,0,0,0,0,0,1999-03-03,Drayton Valley,AB,CAN,CAN,76,195,--,--,--,20242025,N,Regular Season
Anthony Stolarz,20252026,TOR,L,26,25,10,10,--,3,708,632,76,0.893,3.28,1389:15,0,0,0,0,2,1994-01-20,Edison,NJ,USA,USA,78,248,2012,2,45,20162017,N,Regular Season
Jeremy Swayman,20252026,BOS,L,55,54,31,18,--,4,1 571,1 426,146,0.908,2.71,3235:17,2,0,0,0,11,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Regular Season
Cam Talbot,20252026,DET,L,34,25,12,9,--,6,797,704,93,0.883,3.19,1750:11,0,0,1,1,0,1987-07-05,Caledonia,ON,CAN,CAN,75,202,--,--,--,20132014,N,Regular Season
Daniil Tarasov,20252026,FLA,L,33,31,13,15,--,3,925,828,97,0.895,3.05,1905:40,0,0,0,0,0,1999-03-27,Novokuznetsk,--,RUS,RUS,77,203,2017,3,86,20212022,N,Regular Season
Logan Thompson,20252026,WSH,R,58,58,31,21,--,6,1 587,1 447,140,0.912,2.44,3445:03,4,0,1,1,0,1997-02-25,Calgary,AB,CAN,CAN,76,207,--,--,--,20202021,N,Regular Season
Nikita Tolopilo,20252026,VAN,L,21,18,6,11,--,2,582,513,69,0.881,3.61,1145:41,0,0,0,0,2,2000-04-06,Minsk,--,BLR,BLR,78,229,--,--,--,20242025,N,Regular Season
Linus Ullmark,20252026,OTT,L,49,49,28,12,--,8,1 198,1 067,131,0.891,2.73,2883:28,3,0,1,1,2,1993-07-31,Lugnvik,--,SWE,SWE,76,223,2012,6,163,20152016,N,Regular Season
Vitek Vanecek,20252026,UTA,L,22,19,5,13,--,3,506,447,59,0.883,2.93,1206:15,1,0,1,1,0,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Regular Season
Andrei Vasilevskiy,20252026,TBL,L,58,58,39,15,--,4,1 483,1 353,132,0.912,2.31,3430:45,2,0,2,2,11,1994-07-25,Tyumen,--,RUS,RUS,76,223,2012,1,19,20142015,N,Regular Season
