Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Joey Daccord,20242025,SEA,L,57,55,27,23,--,5,1 599,1 449,151,0.906,2.75,3295:15,2,0,2,2,0,1996-08-19,Boston,MA,USA,USA,74,201,2015,7,199,20182019,N,Regular Season
Nico Daws,20242025,NJD,L,6,4,3,1,--,0,114,107,7,0.939,1.6,262:51,1,0,0,0,0,2000-12-22,Munich,--,DEU,CAN,76,205,2020,3,84,20212022,N,Regular Season
Thatcher Demko,20242025,VAN,L,23,23,10,8,--,3,569,506,63,0.889,2.9,1301:58,1,0,0,0,0,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20172018,N,Regular Season
Casey DeSmith,20242025,DAL,L,27,24,14,8,--,2,761,696,65,0.915,2.59,1504:30,2,0,1,1,2,1991-08-13,Rochester,NH,USA,USA,72,188,--,--,--,20172018,N,Regular Season
Jakub Dobes,20242025,MTL,L,16,15,7,4,--,3,440,400,40,0.909,2.74,874:47,1,0,0,0,0,2001-05-27,Ostrava,--,CZE,CZE,76,215,2020,5,136,20242025,N,Regular Season
Louis Domingue,20242025,NYR,R,1,1,1,0,--,0,27,25,2,0.926,2,60:00,0,0,0,0,0,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,207,2010,5,138,20142015,N,Regular Season
Lukas Dostal,20242025,ANA,L,54,49,23,23,--,7,1 625,1 467,158,0.903,3.1,3057:39,1,0,0,0,0,2000-06-22,Brno,--,CZE,CZE,74,190,2018,3,85,20212022,N,Regular Season
Samuel Ersson,20242025,PHI,L,47,45,22,17,--,5,1 162,1 026,136,0.883,3.14,2601:47,2,0,0,0,2,1999-10-20,Falun,--,SWE,SWE,75,194,2018,5,143,20222023,N,Regular Season
Ivan Fedotov,20242025,PHI,L,26,24,6,13,--,4,624,549,75,0.88,3.15,1429:01,0,0,0,0,0,1996-11-28,Lappeenranta,--,FIN,RUS,79,209,2015,7,188,20232024,N,Regular Season
Marc-Andre Fleury,20242025,MIN,L,26,22,14,9,--,1,670,602,68,0.899,2.93,1390:16,1,0,0,0,2,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20032004,N,Regular Season
Anton Forsberg,20242025,OTT,L,30,27,11,12,--,3,768,692,76,0.901,2.72,1676:32,3,0,0,0,0,1992-11-27,Härnösand,--,SWE,SWE,75,200,2011,7,188,20142015,N,Regular Season
Alexandar Georgiev,20242025,"COL,SJS",L,49,47,15,26,--,4,1 317,1 152,165,0.875,3.71,2671:48,0,0,1,1,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20172018,N,Regular Season
John Gibson,20242025,ANA,L,29,28,11,11,--,2,811,740,72,0.912,2.77,1562:09,0,0,1,1,4,1993-07-14,Pittsburgh,PA,USA,USA,75,209,2011,2,39,20132014,N,Regular Season
Jet Greaves,20242025,CBJ,L,11,11,7,2,--,2,339,318,21,0.938,1.91,660:06,2,0,0,0,0,2001-03-30,Cambridge,ON,CAN,CAN,72,188,--,--,--,20222023,N,Regular Season
Philipp Grubauer,20242025,SEA,L,26,26,8,17,--,1,681,596,85,0.875,3.49,1460:29,0,0,0,0,0,1991-11-25,Rosenheim,--,DEU,DEU,73,188,2010,4,112,20122013,N,Regular Season
Filip Gustavsson,20242025,MIN,L,58,58,31,19,--,6,1 693,1 547,146,0.914,2.56,3423:35,5,1,1,2,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20202021,N,Regular Season
Brandon Halverson,20242025,TBL,L,1,1,0,1,--,0,24,19,5,0.792,5.18,57:57,0,0,0,0,0,1996-03-29,Traverse City,MI,USA,USA,77,235,2014,2,59,20172018,N,Regular Season
Connor Hellebuyck,20242025,WPG,L,63,62,47,12,--,3,1 664,1 539,125,0.925,2,3741:22,8,0,1,1,2,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20152016,N,Regular Season
Dennis Hildeby,20242025,TOR,L,6,6,3,3,--,0,156,137,20,0.878,3.33,360:49,0,0,0,0,0,2001-08-19,Jarfalla,--,SWE,SWE,79,231,2022,4,122,20242025,N,Regular Season
Adin Hill,20242025,VGK,L,50,50,32,13,--,5,1 293,1 172,121,0.906,2.47,2940:13,4,0,0,0,4,1996-05-11,Comox,BC,CAN,CAN,76,222,2015,3,76,20172018,N,Regular Season
Joel Hofer,20242025,STL,L,31,28,16,8,--,3,767,693,74,0.904,2.64,1678:49,1,0,1,1,2,2000-07-30,Winnipeg,MB,CAN,CAN,77,193,2018,4,107,20212022,N,Regular Season
Marcus Hogberg,20242025,NYI,L,15,11,2,6,--,3,335,294,41,0.878,3.38,728:13,0,0,0,0,0,1994-11-25,Orebro,--,SWE,SWE,77,232,2013,3,78,20182019,N,Regular Season
Ville Husso,20242025,"DET,ANA",L,13,11,2,6,--,3,336,299,37,0.89,3.47,639:46,0,0,0,0,0,1995-02-06,Helsinki,--,FIN,FIN,75,205,2014,4,94,20202021,N,Regular Season
Connor Ingram,20242025,UTA,L,22,22,9,8,--,4,558,492,66,0.882,3.27,1210:07,0,0,2,2,4,1997-03-31,Saskatoon,SK,CAN,CAN,73,218,2016,3,88,20212022,N,Regular Season
Tristan Jarry,20242025,PIT,L,36,35,16,12,--,6,971,867,105,0.893,3.12,2019:54,2,0,1,1,2,1995-04-29,Surrey,BC,CAN,CAN,76,201,2013,2,44,20162017,N,Regular Season
Jonas Johansson,20242025,TBL,L,19,18,9,6,--,3,554,496,58,0.895,3.13,1110:15,1,0,0,0,0,1995-09-19,Gavle,--,SWE,SWE,77,220,2014,3,61,20192020,N,Regular Season
Kaapo Kahkonen,20242025,COL,L,1,1,0,1,--,0,20,16,4,0.8,4.12,58:16,0,0,0,0,0,1996-08-16,Helsinki,--,FIN,FIN,74,217,2014,4,109,20192020,N,Regular Season
Spencer Knight,20242025,"FLA,CHI",L,38,36,17,16,--,3,1 011,912,100,0.902,2.72,2202:51,2,0,2,2,0,2001-04-19,Darien,CT,USA,USA,75,191,2019,1,13,20202021,N,Regular Season
Pyotr Kochetkov,20242025,CAR,L,47,47,27,16,--,3,1 172,1 052,121,0.898,2.6,2790:42,2,0,3,3,8,1999-06-25,Penza,--,RUS,RUS,75,196,2019,2,36,20212022,N,Regular Season
Nikke Kokko,20242025,SEA,L,1,0,0,0,--,0,6,4,2,0.667,4.01,29:57,0,0,0,0,0,2004-03-14,Oulu,--,FIN,FIN,75,184,2022,2,58,20242025,N,Regular Season
Aleksei Kolosov,20242025,PHI,L,17,13,5,9,--,1,406,352,54,0.867,3.59,901:55,0,0,0,0,0,2002-01-04,Minsk,--,BLR,BLR,73,185,2021,3,78,20242025,N,Regular Season
Joonas Korpisalo,20242025,BOS,L,27,24,11,10,--,3,693,619,74,0.893,2.9,1529:42,3,0,0,0,0,1994-04-28,Pori,--,FIN,FIN,76,200,2012,3,62,20152016,N,Regular Season
Darcy Kuemper,20242025,LAK,L,50,50,31,11,--,7,1 267,1 168,100,0.922,2.02,2973:39,5,0,1,1,12,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Regular Season
Kevin Lankinen,20242025,VAN,L,51,49,25,15,--,10,1 345,1 213,132,0.902,2.62,3019:47,4,0,1,1,0,1995-04-28,Helsinki,--,FIN,FIN,74,190,--,--,--,20202021,N,Regular Season
Tristan Lennox,20242025,NYI,L,1,0,0,0,--,0,2,1,1,0.5,12.72,4:43,0,0,0,0,0,2002-10-21,Ottawa,ON,CAN,CAN,75,204,2021,3,93,20242025,N,Regular Season
Devon Levi,20242025,BUF,L,9,8,2,7,--,0,258,225,33,0.872,4.12,480:38,0,0,0,0,0,2001-12-27,Dollard-des-Ormeaux,QC,CAN,CAN,72,192,2020,7,212,20222023,N,Regular Season
Charlie Lindgren,20242025,WSH,R,39,38,20,14,--,3,985,883,104,0.896,2.73,2287:00,1,0,0,0,0,1993-12-18,Lakeville,MN,USA,USA,74,190,--,--,--,20152016,N,Regular Season
Ukko-Pekka Luukkonen,20242025,BUF,L,55,55,24,24,--,5,1 490,1 321,169,0.887,3.2,3172:13,2,0,1,1,2,1999-03-09,Espoo,--,FIN,FIN,77,223,2017,2,54,20202021,N,Regular Season
Alex Lyon,20242025,DET,L,30,26,14,9,--,1,705,632,73,0.896,2.81,1559:38,1,0,0,0,2,1992-12-09,Baudette,MN,USA,USA,73,199,--,--,--,20172018,N,Regular Season
Jacob Markstrom,20242025,NJD,L,49,49,26,16,--,6,1 214,1 093,121,0.9,2.5,2903:01,4,0,0,0,0,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20102011,N,Regular Season
Spencer Martin,20242025,CAR,L,9,7,3,4,--,1,175,148,27,0.846,3.89,415:59,1,0,0,0,0,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,3,63,20162017,N,Regular Season
Leevi Meriläinen,20242025,OTT,L,12,11,8,3,--,1,295,273,22,0.925,1.99,662:59,3,0,0,0,0,2002-08-13,Oulu,--,FIN,FIN,74,196,2020,3,71,20222023,N,Regular Season
Elvis Merzlikins,20242025,CBJ,L,53,52,26,21,--,5,1 557,1 389,168,0.892,3.18,3170:55,1,0,1,1,8,1994-04-13,Riga,--,LVA,LVA,75,190,2014,3,76,20192020,N,Regular Season
Trent Miner,20242025,COL,L,2,1,0,1,--,0,33,29,4,0.879,2.62,91:38,0,0,0,0,0,2001-02-05,Brandon,MB,CAN,CAN,73,185,2019,7,202,20242025,N,Regular Season
Samuel Montembeault,20242025,MTL,L,62,60,31,24,--,7,1 678,1 513,166,0.902,2.82,3533:59,4,0,1,1,0,1996-10-30,Becancour,QC,CAN,CAN,75,218,2015,3,77,20182019,N,Regular Season
Petr Mrazek,20242025,"CHI,DET",L,38,38,12,21,--,2,1 066,950,116,0.891,3.35,2080:07,1,0,0,0,0,1992-02-14,Ostrava,--,CZE,CZE,74,192,2010,5,141,20122013,N,Regular Season
Matt Murray,20242025,TOR,L,2,2,1,1,--,0,58,51,7,0.879,3.54,118:39,0,0,0,0,0,1994-05-25,Thunder Bay,ON,CAN,CAN,77,220,2012,3,83,20152016,N,Regular Season
Alex Nedeljkovic,20242025,PIT,L,38,35,14,15,--,5,1 054,942,112,0.894,3.12,2150:51,1,1,2,3,2,1996-01-07,Parma,OH,USA,USA,72,205,2014,2,37,20162017,N,Regular Season
Jake Oettinger,20242025,DAL,L,58,58,36,18,--,4,1 611,1 464,147,0.909,2.59,3410:04,2,0,1,1,0,1998-12-18,Lakeville,MN,USA,USA,78,225,2017,1,26,20202021,N,Regular Season
Victor Ostman,20242025,SEA,L,1,0,0,0,--,0,12,12,0,1,0,20:00,0,0,0,0,0,2000-10-03,Danderyd,--,SWE,SWE,76,205,--,--,--,20242025,N,Regular Season
Yaniv Perets,20242025,CAR,L,1,0,0,0,--,0,7,6,1,0.857,7.32,8:12,0,0,0,0,0,2000-03-04,Dollard-des-Ormeaux,QC,CAN,CAN,73,181,--,--,--,20232024,N,Regular Season
Calvin Pickard,20242025,EDM,L,36,31,22,10,--,1,849,764,85,0.9,2.71,1881:43,0,0,1,1,0,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20142015,N,Regular Season
Erik Portillo,20242025,LAK,L,1,1,1,0,--,0,29,28,1,0.966,1.02,58:37,0,0,0,0,0,2000-09-03,Gothenburg,--,SWE,SWE,78,218,2019,3,67,20242025,N,Regular Season
Cayden Primeau,20242025,MTL,L,11,7,2,3,--,1,250,209,41,0.836,4.7,523:42,0,0,0,0,2,1999-08-11,Farmington Hills,MI,USA,USA,75,205,2017,7,199,20192020,N,Regular Season
Jonathan Quick,20242025,NYR,L,24,20,11,7,--,2,657,587,70,0.893,3.17,1325:41,3,0,1,1,2,1986-01-21,Milford,CT,USA,USA,73,219,2005,3,72,20072008,N,Regular Season
James Reimer,20242025,"ANA,BUF",L,24,21,10,10,--,2,662,594,69,0.897,3.04,1362:50,1,0,0,0,0,1988-03-15,Morweena,MB,CAN,CAN,74,200,2006,4,99,20102011,N,Regular Season
David Rittich,20242025,LAK,L,34,31,16,14,--,2,771,684,88,0.887,2.84,1860:28,0,0,0,0,2,1992-08-19,Jihlava,--,CZE,CZE,75,200,--,--,--,20162017,N,Regular Season
Olivier Rodrigue,20242025,EDM,L,2,1,0,1,--,0,29,25,4,0.862,3.1,77:25,0,0,0,0,0,2000-07-06,Chicoutimi,QC,CAN,CAN,73,158,2018,2,62,20242025,N,Regular Season
Georgi Romanov,20242025,SJS,L,8,6,0,6,--,0,219,192,27,0.877,3.89,416:56,0,0,0,0,0,1999-12-15,Yekaterinburg,--,RUS,RUS,77,207,--,--,--,20232024,N,Regular Season
Ilya Samsonov,20242025,VGK,L,29,29,16,9,--,4,752,670,82,0.891,2.82,1745:22,2,0,1,1,4,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20192020,N,Regular Season
Juuse Saros,20242025,NSH,L,58,58,20,31,--,6,1 592,1 426,167,0.896,2.98,3357:49,4,0,1,1,4,1995-04-19,Forssa,--,FIN,FIN,71,180,2013,4,99,20152016,N,Regular Season
Akira Schmid,20242025,VGK,L,5,3,2,0,--,1,90,85,5,0.944,1.26,238:06,0,0,0,0,0,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20212022,N,Regular Season
Hunter Shepard,20242025,WSH,L,1,1,0,1,--,0,26,19,7,0.731,7,60:00,0,0,0,0,0,1995-11-07,Cohasset,MN,USA,USA,71,225,--,--,--,20232024,N,Regular Season
Igor Shesterkin,20242025,NYR,L,61,61,27,29,--,5,1 751,1 584,167,0.905,2.86,3505:08,6,0,0,0,6,1995-12-30,Moscow,--,RUS,RUS,73,199,2014,4,118,20192020,N,Regular Season
Arturs Silovs,20242025,VAN,L,10,9,2,6,--,1,238,205,33,0.861,3.65,542:31,0,0,0,0,2,2001-03-22,Riga,--,LVA,LVA,76,208,2019,6,156,20222023,N,Regular Season
Jakub Skarek,20242025,NYI,L,2,1,0,1,--,0,39,34,5,0.872,3.94,76:09,0,0,0,0,0,1999-11-10,Jihlava,--,CZE,CZE,76,211,2018,3,72,20242025,N,Regular Season
Stuart Skinner,20242025,EDM,L,51,50,26,18,--,4,1 325,1 187,138,0.896,2.81,2942:27,3,0,0,0,0,1998-11-01,Edmonton,AB,CAN,CAN,76,215,2017,3,78,20202021,N,Regular Season
Arvid Soderblom,20242025,CHI,L,36,33,10,18,--,7,1 087,976,111,0.898,3.18,2096:30,0,0,0,0,0,1999-08-19,Göteborg,--,SWE,SWE,75,180,--,--,--,20212022,N,Regular Season
Mads Sogaard,20242025,OTT,L,2,1,1,1,--,0,40,32,8,0.8,5.24,91:33,0,0,0,0,2,2000-12-13,Aalborg,--,DNK,DNK,79,231,2019,2,37,20212022,N,Regular Season
Ilya Sorokin,20242025,NYI,L,61,60,30,24,--,6,1 695,1 538,158,0.907,2.71,3498:51,4,1,2,3,2,1995-08-04,Mezhdurechensk,--,RUS,RUS,75,189,2014,3,78,20202021,N,Regular Season
Jaxson Stauber,20242025,UTA,L,6,4,2,1,--,1,158,141,17,0.892,3.26,313:11,1,0,0,0,0,1999-04-27,Wayzata,MN,USA,USA,75,174,--,--,--,20222023,N,Regular Season
Clay Stevenson,20242025,WSH,L,1,1,0,1,--,0,38,33,5,0.868,5,60:00,0,0,0,0,0,1999-03-03,Drayton Valley,AB,CAN,CAN,76,195,--,--,--,20242025,N,Regular Season
Ales Stezka,20242025,SEA,L,1,1,0,1,--,0,23,20,3,0.87,3.09,58:20,0,0,0,0,0,1997-01-06,Liberec,--,CZE,CZE,76,190,2015,4,111,20242025,N,Regular Season
Anthony Stolarz,20242025,TOR,L,34,33,21,8,--,3,955,884,71,0.926,2.14,1986:54,4,0,1,1,0,1994-01-20,Edison,NJ,USA,USA,78,248,2012,2,45,20162017,N,Regular Season
Jeremy Swayman,20242025,BOS,L,58,58,22,29,--,7,1 632,1 456,176,0.892,3.11,3390:35,4,0,0,0,2,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Regular Season
Cam Talbot,20242025,DET,L,47,43,21,19,--,5,1 295,1 167,129,0.901,2.93,2642:10,2,0,0,0,0,1987-07-05,Caledonia,ON,CAN,CAN,75,202,--,--,--,20132014,N,Regular Season
Daniil Tarasov,20242025,CBJ,L,20,19,7,10,--,2,544,479,65,0.881,3.54,1100:25,1,0,1,1,0,1999-03-27,Novokuznetsk,--,RUS,RUS,77,203,2017,3,86,20212022,N,Regular Season
Logan Thompson,20242025,WSH,R,43,42,31,6,--,6,1 172,1 067,105,0.91,2.49,2535:09,2,0,1,1,0,1997-02-25,Calgary,AB,CAN,CAN,76,207,--,--,--,20202021,N,Regular Season
Dustin Tokarski,20242025,CAR,L,6,6,4,2,--,0,132,119,13,0.902,2.18,358:19,1,0,0,0,0,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,5,122,20092010,N,Regular Season
Nikita Tolopilo,20242025,VAN,L,2,1,1,1,--,0,26,23,3,0.885,2.15,83:39,0,0,0,0,0,2000-04-06,Minsk,--,BLR,BLR,78,229,--,--,--,20242025,N,Regular Season
Linus Ullmark,20242025,OTT,L,44,43,25,14,--,3,1 229,1 118,112,0.91,2.72,2467:17,4,0,2,2,0,1993-07-31,Lugnvik,--,SWE,SWE,76,223,2012,6,163,20152016,N,Regular Season
Vitek Vanecek,20242025,"SJS,FLA",L,25,24,5,14,--,4,724,640,84,0.884,3.62,1393:38,1,0,1,1,0,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Regular Season
Semyon Varlamov,20242025,NYI,L,10,10,3,4,--,3,262,233,29,0.889,2.89,602:24,0,0,0,0,0,1988-04-27,Samara,--,RUS,RUS,74,201,2006,1,23,20082009,N,Regular Season
Andrei Vasilevskiy,20242025,TBL,L,63,63,38,20,--,5,1 716,1 581,136,0.921,2.18,3743:05,6,0,2,2,8,1994-07-25,Tyumen,--,RUS,RUS,76,223,2012,1,19,20142015,N,Regular Season
Karel Vejmelka,20242025,UTA,R,58,55,26,22,--,8,1 509,1 364,145,0.904,2.58,3368:20,1,0,1,1,0,1996-05-25,Trebic,--,CZE,CZE,76,221,2015,5,145,20212022,N,Regular Season
Matt Villalta,20242025,UTA,L,1,1,1,0,--,0,31,28,3,0.903,3,60:00,0,0,0,0,0,1999-06-03,Kingston,ON,CAN,CAN,75,190,2017,3,72,20232024,N,Regular Season
Dan Vladar,20242025,CGY,L,30,29,12,11,--,6,810,727,83,0.898,2.8,1781:02,2,0,1,1,2,1997-08-20,Prague,--,CZE,CZE,77,209,2015,3,75,20202021,N,Regular Season
Jesper Wallstedt,20242025,MIN,L,2,2,0,2,--,0,51,43,8,0.843,4.09,117:26,0,0,0,0,2,2002-11-14,Vasteras,--,SWE,SWE,75,214,2021,1,20,20232024,N,Regular Season
Scott Wedgewood,20242025,"NSH,COL",L,24,22,14,6,--,2,578,525,53,0.908,2.32,1373:05,2,0,0,0,0,1992-08-14,Brampton,ON,CAN,CAN,74,201,2010,3,84,20152016,N,Regular Season
Dustin Wolf,20242025,CGY,L,53,53,29,16,--,8,1 549,1 409,140,0.91,2.64,3182:22,3,0,3,3,2,2001-04-16,Gilroy,CA,USA,USA,72,166,2019,7,214,20222023,N,Regular Season
Joseph Woll,20242025,TOR,L,42,41,27,14,--,1,1 216,1 105,111,0.909,2.73,2442:20,1,0,0,0,0,1998-07-12,Dardenne Prairie,MO,USA,USA,75,212,2016,3,62,20212022,N,Regular Season
