Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Jake Allen,20242025,NJD,L,31,29,13,16,--,1,819,744,77,0.908,2.66,1738:10,4,0,0,0,0,1990-08-07,Fredericton,NB,CAN,CAN,74,197,2008,2,34,20122013,N,Regular Season
Frederik Andersen,20242025,CAR,L,22,22,13,8,--,1,546,491,55,0.899,2.5,1319:31,1,0,1,1,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Regular Season
Justus Annunen,20242025,"COL,NSH",L,34,29,15,15,--,1,814,719,95,0.883,3.18,1789:49,0,0,0,0,0,2000-03-11,Kempele,--,FIN,FIN,76,210,2018,3,64,20212022,N,Regular Season
Yaroslav Askarov,20242025,SJS,R,13,12,4,6,--,2,357,320,37,0.896,3.1,716:48,0,0,1,1,0,2002-06-16,Omsk,--,RUS,RUS,75,180,2020,1,11,20222023,N,Regular Season
Jordan Binnington,20242025,STL,L,56,54,28,22,--,5,1 457,1 312,145,0.9,2.69,3238:59,3,0,0,0,6,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20152016,N,Regular Season
Mackenzie Blackwood,20242025,"SJS,COL",L,56,53,28,21,--,6,1 549,1 413,137,0.912,2.55,3223:38,4,0,1,1,2,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,2,42,20182019,N,Regular Season
Joel Blomqvist,20242025,PIT,L,15,12,4,9,--,1,425,376,49,0.885,3.81,772:27,0,0,0,0,0,2002-01-10,Uusikaarlepyy,--,FIN,FIN,75,204,2020,2,52,20242025,N,Regular Season
Sergei Bobrovsky,20242025,FLA,L,54,54,33,19,--,2,1 377,1 247,130,0.906,2.44,3199:59,5,0,1,1,4,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Regular Season
Drew Commesso,20242025,CHI,L,2,1,0,1,--,0,26,22,4,0.846,3.36,71:21,0,0,0,0,0,2002-07-19,Norwell,MA,USA,USA,74,180,2020,2,46,20242025,N,Regular Season
Eric Comrie,20242025,WPG,L,20,20,9,10,--,1,547,500,47,0.914,2.39,1179:33,2,0,0,0,0,1995-07-06,Edmonton,AB,CAN,CAN,73,190,2013,2,59,20162017,N,Regular Season
Pheonix Copley,20242025,LAK,L,1,0,0,0,--,0,12,10,2,0.833,4.37,27:29,0,0,0,0,0,1992-01-18,North Pole,AK,USA,USA,76,205,--,--,--,20152016,N,Regular Season
Sebastian Cossa,20242025,DET,L,1,0,1,0,--,0,14,12,2,0.857,2.67,45:00,0,0,0,0,0,2002-11-21,Hamilton,ON,CAN,CAN,78,221,2021,1,15,20242025,N,Regular Season
